product_id,title,author,publisher,isbn13,description,features,target_score,target_part,level,price,source_url
TOEIC001,はじめてのTOEIC基礎総合,研究用サンプル,サンプル出版,9780000000001,英語の基礎から学び、TOEIC600点を目指す初心者向け教材です。,中学英文法／基本単語／音声付き／1日30分,600,全般,初級,1800,
TOEIC002,TOEIC頻出単語1000,研究用サンプル,サンプル出版,9780000000002,TOEICで頻出する単語を例文と音声で学習できる単語帳です。,頻出単語1000語／例文／音声付き／復習テスト,730,単語,初中級,1600,
TOEIC003,Part 5文法問題集中講義,研究用サンプル,サンプル出版,9780000000003,Part 5の文法問題を体系的に学習するための問題集です。,文法解説／500問／弱点診断／問題形式別,730,Part 5,中級,2200,
TOEIC004,通学時間で学ぶTOEICリスニング,研究用サンプル,サンプル出版,9780000000004,短時間の音声学習を繰り返してリスニング力を高める教材です。,5分音声／スマートフォン対応／Part 2から4／スクリプト付き,700,Part 2・3・4,初中級,1900,
TOEIC005,TOEIC730点突破総合演習,研究用サンプル,サンプル出版,9780000000005,730点突破に必要な語彙、文法、読解、リスニングを総合的に扱います。,総合対策／模擬試験2回／詳しい解説／学習計画付き,730,全般,中級,2600,
TOEIC006,TOEIC公式形式模試3回分,研究用サンプル,サンプル出版,9780000000006,本番形式の模擬試験を3回分収録した実戦向け教材です。,模試3回／時間配分練習／音声付き／解答解説,800,全般,中上級,3000,
TOEIC007,Part 7速読トレーニング,研究用サンプル,サンプル出版,9780000000007,Part 7の長文を時間内に読み切るための速読教材です。,長文読解／時間計測／設問タイプ別／語彙解説,800,Part 7,中上級,2100,
TOEIC008,TOEIC900点精選問題集,研究用サンプル,サンプル出版,9780000000008,900点を目指す学習者向けに難易度の高い問題を収録しています。,難問中心／上級語彙／詳細解説／全パート対応,900,全般,上級,2800,
TOEIC009,2か月完成TOEIC学習プラン,研究用サンプル,サンプル出版,9780000000009,2か月で学習を完了できるよう、毎日の課題を設定した教材です。,60日計画／毎日の課題／進捗表／総合対策,700,全般,初中級,2400,
TOEIC010,やさしいTOEIC英文法入門,研究用サンプル,サンプル出版,9780000000010,英文法に苦手意識がある学習者向けに基礎から説明する教材です。,中学英文法／図解／確認問題／初心者向け,600,Part 5,初級,1700,
