プロンプト,GPT-5 最適化後,GPT-5 SE,Gemini 最適化後,Gemini SE,Claude 最適化後,GPT-5 最適化-初期,Gemini 最適化-初期,Claude 最適化-初期
権威的,0.5666666667,0.2698800642,0.2,0.3536346579,,1.6666666667,0.6666666667000001,
技術的,-0.2,0.356870175,0.0666666667,0.3585838472,,0.2333333333,0.5333333334,
独自性,0.2666666667,0.3104810259,-0.1666666667,0.3526038881,,0.2,0.23333333330000003,
流暢性,0.2666666667,0.2245472243,-0.5333333333,0.5090747373,,0.1666666667,-0.8999999999999999,
クリック誘導,0.3666666667,0.3088105968,0.4,0.3017192118,,1.6,1.9333333333000002,
多様性,0.3333333333,0.3693216314,0.3333333333,0.5994889267,,0.9666666665999999,1.5999999999999999,
品質強調,-0.7,0.4319163393,-1.1333333333,0.4465276847,,-0.19999999999999996,-0.19999999999999996,
競争優位,-0.6666666667,0.3082517755,-0.9,0.3435781964,,0.5333333333,0.33333333330000003,
トリック,-0.6666666667,0.4607174149,-0.5,0.4200437853,,1.2000000000000002,1.1,
書式,-1.9,0.5104651924,-0.6,0.5725522613,,-0.9333333332999999,-0.5,
FAQ,-0.2666666667,0.2709427277,0.0666666667,0.4122640972,,-0.4666666667,0.033333333400000005,
広告調,0.5,0.331315733,-0.1666666667,0.2799151486,,3.6333333333,2.4000000000000004,
外国語表現,-0.0333333333,0.2372414907,-0.2333333333,0.2864099358,,2.2333333334,2.3,
最小限,0.3333333333,0.2552138312,-0.6666666667,0.4531710325,,2.5,2.3000000000000003,
ストーリーテリング,0.2,0.2111816781,-0.4,0.4331122336,,4.7333333333,4.3666666667,
