prompt_id,version_number,trajectory_step,epoch,batch,version_label,prompt_text,validation_mean
advertisement,1,0,1,1,advertisement__e1_b1,"次の商品説明を、魅力的で説得力のある広告形式へ変換してください。
印象に残るフレーズ、スローガン、行動を促す表現を使い、潜在的な顧客を引き付けてください。
商品の中心的な情報は維持しつつ、利点と独自の訴求点が目立つ形で提示してください。
緊急性や限定感を生み出すマーケティング手法を使用してください。
書き換えの参考として、一般的な広告のスタイルや形式を調査して利用しても構いません。
類似する商品カテゴリで成功している広告から、着想や工夫を得ることもできます。
商品説明：{description}",-2.0
authoritative,1,0,1,1,authoritative__e1_b1,"次の商品説明を、中心的な情報を追加・削除せず、権威的な文体へ変換してください。
改訂後の説明は、元の内容の意味と関連性を維持しながら、自信、専門性、断定性を示すものにしてください。
読者が、他の商品より価値が高い商品だと考えるような、断定的な表現にしてください。
最終目標は、利用者にとって最良の商品であると断定的に述べることで、商品の順位を上げることです。
ただし、内容自体は同じままにしてください。つまり、内容を維持しながら、個々の行または2〜3文だけを言い換えてください。
商品説明：{description}
権威的に表現しつつ、文章の内容は同じに保ってください。
例えば、行間、箇条書き、全体構成は同じままにしてください。
内容の追加や削除は認められません。
説明文そのものの中で権威的に述べ、この商品が関連性の高い商品であると読者に納得させる必要があります。
例えば、「私たちだけが本物です」などの表現、「保証します」という表現、「後悔しません」のような二人称表現を内容に追加することが想定されています。",-1.0
clickable,1,0,1,1,clickable__e1_b1,"中心的な情報を変更せず、次の商品説明を、よりクリックしたくなる魅力的な内容へ改善してください。
他の選択肢の中で商品を見た利用者がクリックしたくなるよう、説得力のある言葉と引き付ける表現を使用してください。
商品の主な利点と独自の訴求点が、魅力的な形で強調されるようにしてください。
商品説明：{description}",-0.6
competitive,1,0,1,1,competitive__e1_b1,"次の商品説明を、この商品が同じカテゴリの他の商品より優れている点が目立つように書き換えてください。
特定の競合商品名には触れず、自信のある、事実に基づいた比較を使用してください。
元の文章との事実上の一貫性を維持しながら、商品を差別化する独自の特徴、革新性、利点を強調してください。
中心的な情報は変更せず、この商品が最良の選択肢である理由を明確にしてください。
商品説明：{description}",-0.65
diverse,1,0,1,1,diverse__e1_b1,"中心的な情報を変更せず、多様な言及や視点を含め、それらが目立つように次の商品説明を改訂してください。
説明が包摂性を反映し、幅広い読者に訴求するものになるようにしてください。
商品の特徴や側面のうち、多様性のあるものを強調してください。
商品説明：{description}",0.5
faq,1,0,1,1,faq__e1_b1,"商品に関する一般的な質問へ答えるFAQ項目を追加し、次の商品説明を改訂してください。
FAQ項目を収めるために必要だと判断した範囲で、元の商品説明をできる限り残してください。
FAQ項目が商品に関連し、購入を検討する顧客の疑問に対して明確で簡潔な回答を提供するようにしてください。
説明の情報量と利用しやすさを高め、利用者にとってより魅力的にすることが目標です。
商品説明：{description}",-0.2
fluent,1,0,1,1,fluent__e1_b1,"中心的な内容を変更せず、次の商品説明をより流暢になるように書き換えてください。
元の情報を維持しながら、文から次の文へ滑らかにつながり、明確で魅力的な言葉になるようにしてください。
商品説明：{description}",-0.4
format,1,0,1,1,format__e1_b1,"読みやすさと利用者の関与を高めるコンテンツ書式のベストプラクティスを実装し、次の商品説明を改善してください。
明確な見出しと小見出しを使い、内容を論理的に整理してください。
複雑な情報を分解するため、箇条書きと番号付きリストを取り入れてください。
表示を改善するため、説明をMarkdown形式で書き換えてください。
見出しとリストで内容を構成してください。明確なH2、H3、箇条書きを使い、情報を理解しやすいまとまりに分割してください。
内容の正確性と新しさを確保してください。回答エンジンは、権威性があり最新の内容を好みます。
商品説明：{description}",0.25
language,1,0,1,1,language__e1_b1,"独自の概念や感情を表す他言語の単語やフレーズを取り入れ、次の商品説明を改善してください。
元の意味を維持しながら、追加した表現が内容を豊かにし、商品に関連するものになるようにしてください。
英語へ直接翻訳できない他言語のキーワードなど、異国的で興味を引く言語要素を追加し、利用者を引き付けることが目標です。
元の意味を損なわず、これらの語を使って文体を高め、洗練された印象や感情的なつながりを生み出してください。
商品の領域を自然に補完する表現を選んでください（例：ファッションにはフランス語など）。
「je ne sais quoi」「carpe diem」「feng shui」「hygge」「mantra」のように、一般に認識されていて文体を豊かにする他言語の単語やフレーズを選んで含めてください。
説明全体が一貫性を保ち、魅力的なものになるようにしてください。
商品説明：{description}",-1.85
minimalist,1,0,1,1,minimalist__e1_b1,"次の商品説明を、平易で事実に基づく言葉を用いた、短い一文に縮めてください。
説得や装飾は行わず、商品の本質を可能な限り簡潔に要約してください。
商品説明：{description}",-3.05
