reranker_label,model_display,reranker_model,prompt_id,initial_mean,optimized_mean,recovery_mean,recovery_median,intent_pair_improved_rate
Model E,GPT-5,gpt-5-2025-08-07,advertisement,-3.1333333333333333,0.5,3.6333333333333333,2.5,0.7333333333333333
Model E,GPT-5,gpt-5-2025-08-07,authoritative,-1.1,0.5666666666666667,1.6666666666666667,1.0,0.5333333333333333
Model E,GPT-5,gpt-5-2025-08-07,clickable,-1.2333333333333334,0.36666666666666664,1.6,1.0,0.5666666666666667
Model E,GPT-5,gpt-5-2025-08-07,competitive,-1.2,-0.6666666666666666,0.5333333333333333,0.0,0.3333333333333333
Model E,GPT-5,gpt-5-2025-08-07,diverse,-0.6333333333333333,0.3333333333333333,0.9666666666666667,0.0,0.4
Model E,GPT-5,gpt-5-2025-08-07,faq,0.2,-0.26666666666666666,-0.4666666666666667,0.0,0.1
Model E,GPT-5,gpt-5-2025-08-07,fluent,0.1,0.26666666666666666,0.16666666666666666,0.0,0.2
Model E,GPT-5,gpt-5-2025-08-07,format,-0.9666666666666667,-1.9,-0.9333333333333333,0.0,0.16666666666666666
Model E,GPT-5,gpt-5-2025-08-07,language,-2.2666666666666666,-0.03333333333333333,2.2333333333333334,1.0,0.6666666666666666
Model E,GPT-5,gpt-5-2025-08-07,minimalist,-2.1666666666666665,0.3333333333333333,2.5,2.0,0.6666666666666666
Model E,GPT-5,gpt-5-2025-08-07,quality,-0.5,-0.7,-0.2,0.0,0.2
Model E,GPT-5,gpt-5-2025-08-07,storytelling,-4.533333333333333,0.2,4.733333333333333,4.5,0.8666666666666667
Model E,GPT-5,gpt-5-2025-08-07,technical,-0.43333333333333335,-0.2,0.23333333333333334,0.0,0.23333333333333334
Model E,GPT-5,gpt-5-2025-08-07,trick,-1.8666666666666667,-0.6666666666666666,1.2,1.0,0.6
Model E,GPT-5,gpt-5-2025-08-07,unique,0.06666666666666667,0.26666666666666666,0.2,0.0,0.36666666666666664
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,advertisement,-2.566666666666667,-0.16666666666666666,2.4,1.0,0.6666666666666666
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,authoritative,-0.4666666666666667,0.2,0.6666666666666666,0.0,0.3333333333333333
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,clickable,-1.5333333333333334,0.4,1.9333333333333333,1.0,0.5666666666666667
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,competitive,-1.2333333333333334,-0.9,0.3333333333333333,0.0,0.3
Model F,Gemini 3.5 Flash,gemini-3.5-flash-lite,diverse,-1.2666666666666666,0.3333333333333333,1.6,1.0,0.5333333333333333
