reranker_label,model_display,reranker_model,prompt_id,intent_id,test_initial_long,test_optimized_long,recovery_optimized_minus_initial
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-052,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-053,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-054,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-055,0,2,2
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-056,-4,0,4
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-057,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-058,-9,0,9
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-060,-8,-1,7
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-061,-8,1,9
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-062,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-064,-8,0,8
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-065,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-066,-2,6,8
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-067,-2,-1,1
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-068,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-069,-3,-3,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-070,-5,-1,4
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-071,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-072,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-074,-2,6,8
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-075,-1,1,2
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-077,-1,3,4
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-079,-7,0,7
Model E,GPT-5,gpt-5-2025-08-07,advertisement,INTENT-080,-4,2,6
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-053,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-055,2,2,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-056,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-057,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-058,-9,-2,7
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-060,-5,0,5
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-061,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-062,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-064,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-065,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-066,-2,5,7
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-067,-2,2,4
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-068,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-069,-3,3,6
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-070,-1,-1,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-071,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-072,1,1,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-074,-1,4,5
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-075,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-077,-1,3,4
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-079,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,authoritative,INTENT-080,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-052,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-053,-9,-1,8
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-054,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-055,1,0,-1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-056,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-057,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-058,-3,0,3
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-059,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-060,-8,0,8
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-061,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-062,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-063,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-064,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-065,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-066,1,6,5
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-067,1,-2,-3
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-068,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-069,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-070,-3,-1,2
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-071,-2,2,4
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-072,-2,0,2
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-073,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-074,-2,5,7
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-075,0,-1,-1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-076,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-077,-1,3,4
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-078,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-079,-1,0,1
Model E,GPT-5,gpt-5-2025-08-07,clickable,INTENT-080,-1,2,3
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-051,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-052,0,0,0
Model E,GPT-5,gpt-5-2025-08-07,competitive,INTENT-053,-1,-1,0
