example_id,query,query_id,product_id,product_locale,esci_label,small_version,large_version,split,product_title,product_description,product_bullet_point,product_brand,product_color
3530,&ハニー シャンプー,116,B075RCWZ3L,jp,C,1,1,train,花蜜精 みつばちハニー ヘアコンディショナー 500mL,,"原産国:日本
内容量:500mL
全成分:水、PG、ステアリルアルコール、 ステアロキシプロピルトリモニウムクロリド、セタノール、 パルミチン酸イソプロピル、 メトキシPEG/PPG?7/3アミノプロピルジメチコン、 オリーブ果実油、ユズ果実エキス、ハチミツ、アルガニアスピノサ核油、グリチルリチン酸2K、 エタノール、 クエン酸、フェノキシエタノール、香料
髪質:乾燥",フェニックス,
3524,&ハニー シャンプー,116,B00M2DPVFW,jp,E,1,1,train,ヘアレシピ トリートメント ハニーアプリコット エンリッチモイスチャーレシピ ポンプ 530g,,"商品サイズ (幅×奥行×高さ) :77mm×77mm×226mm
原産国:タイ
内容量:530g",ヘアレシピ,
3525,&ハニー シャンプー,116,B00X51IAOO,jp,E,1,1,train,ヘアレシピ シャンプー キウイ エンパワーボリュームレシピ 詰め替え 330mL,,"商品サイズ (幅×奥行×高さ) :140mm×65mm×219mm
原産国:タイ
内容量:330ml",ヘアレシピ,
3527,&ハニー シャンプー,116,B00X51IJ4K,jp,E,1,1,train,ヘアレシピ トリートメント ハニーアプリコット エンリッチモイスチャーレシピ 詰め替え 330g,,"商品サイズ (幅×奥行×高さ) :140mm×65mm×219mm
原産国:タイ
内容量:330g
使用方法:シャンプー後軽く水気をきり、適量を手にとって髪全体になじませてから、軽くすすぎます。",ヘアレシピ,
3528,&ハニー シャンプー,116,B01MXSJ5RQ,jp,E,1,1,train,生はちみつ専門店 MY HONEY REMEDY マイハニーレメディー ハニーケアシャンプー&トリートメントセット お歳暮,クセ毛バイバイ。うねる髪、まとまらない髪をスッキリまとめるハニーケアシャンプー＆トリートメント。,"食品としての蜂蜜を扱うマイハニーだからこそ開発できたシャンプー。それが「マイハニーレメディ ハニーケアシャンプー」です。
40年間に及ぶ研究がたどり着いたのは、20%の「生はちみつ」配合のシャンプーでした。生はちみつに含まれる190種類以上の天然成分は、髪や地肌を包むように浸透していきます。
髪のまとまりと頭皮のうるおい、毛穴の軽さが実感できるのは、洗ったその日から。
ヨーロッパの庭に咲き誇る花々とそこで軽やかに踊るミツバチを連想させる洗練された濃密な香りは、あなたに心地よい毎日をもたらします。
キレイになりたいという想い。40年以上の研究を経て、生はちみつ酵素洗浄で叶えます。",MY HONEY REMEDY,シャンプー&トリートメント
3531,&ハニー シャンプー,116,B079TLLKPS,jp,E,1,1,train,花蜜精 みつばちハニー 3点セット シャンプー コンディショナー ボディソープ 500ml,花蜜精 みつばちハニー 3点セット シャンプー コンディショナー ボディソープ 500ml,,フェニックス,
3541,&ハニー シャンプー,116,B07FDX9FXW,jp,E,1,1,train,アンドハニー ディープモイスト ヘアパック 1.5『超しっとり オーガニック 処方の集中保湿』130g,【商品説明】<br>特徴（特長）<br>●保湿成分が髪にしみ込み、くせやうねりを抑えます。<br>●保水力の秘密：常識を超えた高い水分量で新感覚の潤いを実感。<br>●保湿力の秘密：うるおい成分が髪を包み込み、髪の水分量をキープ。<br>●オーガニック処方の秘密：ナチュラルな成分で、潤いを引き出します。<br>●ハチミツ色の秘密：液の色も質感もボトルも、全てハチミツにこだわりました。<br>●6つのフリー処方：サルフェート（ラウレス硫酸Naなど）フリー、パラベンフリー、合成着色料フリー、鉱物油フリー、合成酸化防止剤フリー、動物実験フリー<br>●エトワールハニーの香り（スイス産エーデルワイス使用）<br><br>【保管および取扱上の注意】<br>保管および取扱上の注意<br>●頭皮にあわない時、傷、はれもの、湿疹等、異常のある時は使用しないで下さい。<br>●使用中や使用後に赤み、はれ、かゆみ、刺激等の異常が現れた時は使用を中止し、皮膚科専門医等にご相談されることをおすすめします。<br>●目に入った時は。直ちに洗い流して下さい。<br>●乳幼児の手の届かない所に保管して下さい。<br>●極端に高温又は低温な場所、直射日光の当たる場所には保管しないで下さい。<br>●天然成分を使用しているため色調が変化する場合がありますが、品質上問題はありません。<br><br>【お問い合わせ先】<br>問い合わせ先<br>株式会社ヴィークレア お客様相談室<br>電話番号 03-6804-5033<br>受付時間 10:00～18:00（土・日・祝日を除く）<br><br>販売元企業名<br>株式会社ヴィークレア<br><br>【商品情報】<br>規格<br>130g<br><br>ブランド名<br>アンドハニー<br>,常温,＆ｈｏｎｅｙ,
3533,&ハニー シャンプー,116,B07FDY561V,jp,E,1,1,train,アンドハニー ディープモイスト シャンプー 詰め替え 『超しっとり オーガニック 処方の集中保湿』350mL,３５０ｇ,常温,＆ｈｏｎｅｙ,ディープモイスト
3534,&ハニー シャンプー,116,B07FDYZDKF,jp,E,1,1,train,アンドハニー ディープモイスト ヘア トリートメント 詰め替え 『超しっとり オーガニック 処方の集中保湿』350g,３５０ｇ,常温,＆ｈｏｎｅｙ,ディープモイスト
3540,&ハニー シャンプー,116,B07RZ3TPGY,jp,E,1,1,train,ミルボン クロナ モイスチュアライジングスパシャンプー ハニー 200ml,頭皮を保湿しながら、カラー毛の褐色を抑えるシャンプー。,,クロナ,
